Номер;ГК/Филиал;Подразделение;Департамент;Отдел;Должность;ФИО;Ставка;ФОТ;Регион;Квалификация;Свобода_решений;Правила_подразделения;Правила_компании;Люди_в_адм_подчинении;Люди_в_функц_подчинении_внешние;Цель_общения_компания;Год_влияние_на_финрезультат;Стоимость_ошибки
1424452;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Аналитик;Ячменькова Пелагея Андрияновна;1;90000;москва;4;3;1;1;1;1;2;1;1
6667954;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Аналитик;Горелов Архип Геннадиевич;1;90000;москва;4;3;1;1;1;1;2;1;1
7284288;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Аналитик;Яшнова Лилия Владиленовна;1;130000;москва;4;2;1;1;1;1;2;1;1
7586757;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Аналитик;Абоймова Ефросинья Ильевна;1;130000;москва;4;2;1;1;1;1;2;1;1
9855738;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Ведущий специалист;Халимдаров Яков Яковович;1;55000;москва;2;2;1;1;1;1;2;1;1
5703915;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Заместитель руководителя департамента;Малинина Наталия Вячеславовна;1;210000;москва;5;3;2;2;1;1;2;1;1
5853770;Головная компания;Блок андеррайтинга;Департамент бизнес-анализа и технологий;;Руководитель департамента;Радостина Анна Игнатиевна;1;250000;москва;5;4;3;3;2;1;3;1;1
4198456;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Ведущий специалист;Гика Светлана Игоревна;1;60000;москва;3;2;1;1;1;1;1;1;1
4524188;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Ведущий специалист;Досаев Чеслав Модестович;1;60000;москва;3;2;1;1;1;1;1;1;1
6454181;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Ведущий специалист;Якуткин Юлий Венедиктович;1;60000;москва;3;2;1;1;1;1;1;1;1
6633531;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Ведущий специалист;Немова Владислава Георгиевна;1;60000;москва;3;2;1;1;1;1;1;1;1
8444289;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Ведущий специалист;Данильцина Мирослава Ростиславовна;1;50000;москва;3;2;1;1;1;1;1;1;1
891343;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Главный специалист;Евсеева Оксана Ираклиевна;1;60000;москва;5;3;2;2;1;1;3;1;2
2855495;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Главный специалист;Клюев Даниил Олегович;1;60000;москва;2;1;1;1;1;1;1;1;1
694125;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Руководитель отдела;Самошина Злата Тихоновна;1;100000;москва;4;3;2;2;3;3;2;2;4
4641598;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Другаль Светлана Игоревна;1;25000;москва;2;1;0;1;1;1;1;1;1
5596473;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Ясакова Инна Андрияновна;1;250000;москва;2;0;1;1;1;1;1;1;1
6434248;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Носатенко Всеслава Александровна;1;65000;москва;2;1;1;1;1;1;1;1;1
6851271;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Смолин Егор Никифорович;1;50000;москва;2;1;1;1;1;1;1;1;1
7331451;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Янчуковский Вацлав Онуфриевич;1;25000;москва;2;1;1;1;1;1;1;1;1
7649740;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Оборин Трофим Федотович;1;50000;москва;2;1;1;1;1;1;1;1;1
8587841;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Лоскутов Мирослав Архипович;1;50000;москва;2;1;1;1;1;1;1;1;1
